,物件名,住所,最寄駅,築年数,価格,利回り,戸数,構造,建物面積,土地面積
0,世田谷区6％・新築一棟アパート,"
      東京都世田谷区奥沢1丁目    ",東急目黒線 奥沢駅 徒歩10分,,"
              2億7800万円            ","
              6.04%            ",2戸,鉄骨造,"
      168.58㎡      (165.0万円/㎡)    ","
      142.43㎡      (195.2万円/㎡)    "
1,■■投資のLEX■■ 6.52％「大宮」駅 5分 RC造,"
      埼玉県さいたま市大宮区宮町2丁目    ",JR京浜東北・根岸線 大宮駅 徒歩5分,1980年01月（築43年）,"
              5億円            ","
              1.51%            ",7戸,RC造,"
      756.90㎡      (66.1万円/㎡)    ","
      193.19㎡      (258.9万円/㎡)    "
2,北越谷駅徒歩8分　利回り9.23％　オーナーチェンジ物件,"
      埼玉県越谷市北越谷3丁目    ",東武伊勢崎・大師線 北越谷駅 徒歩8分,1987年01月（築36年）,"
              7980万円            ","
              9.23%            ",18戸,木造,"
      254.30㎡      (31.4万円/㎡)    ","
      299.86㎡      (26.7万円/㎡)    "
3,アッシモ川越,"
      埼玉県川越市旭町    ",東武東上線 川越駅 徒歩20分 他,2005年11月（築18年）,"
              3490万円            ","
              5.50%            ",2戸,木造,"
      109.77㎡      (31.8万円/㎡)    ","
      100.01㎡      (34.9万円/㎡)    "
4,マリオン川口第２,"
      埼玉県川口市西川口3    ",JR京浜東北・根岸線 西川口駅 徒歩2分,"
      1988年06月（築35年）          ","
              1050万円            ","
              7.20%            ",29戸,SRC造,"
      16.50㎡      (63.7万円/㎡)    ", 
5,【1都3県×0円管理（LPP）】土地建物積算価格80％以上,"
      埼玉県戸田市喜沢1丁目    ",JR京浜東北・根岸線 西川口駅 徒歩10分,1987年03月（築36年）,"
              2億4200万円            ","
              6.99%            ",20戸,RC造,"
      1161.10㎡      (20.9万円/㎡)    ","
      736.64㎡      (32.9万円/㎡)    "
6,駅歩9分！蒲生中央通り面す！RC造！想定満室利回り8.5％！,"
      埼玉県越谷市蒲生旭町    ",東武伊勢崎・大師線 蒲生駅 徒歩9分,1979年04月（築44年）,"
              3億2000万円            ","
              8.50%            ",1戸,RC造,"
      530.88㎡      (60.3万円/㎡)    ","
      286.94㎡      (111.6万円/㎡)    "
7,所沢コーポラスE棟,"
      埼玉県所沢市北秋津876    ",西武新宿線 所沢駅 徒歩8分 他,"
      1978年09月（築45年）          ","
              1500万円            ",0,,鉄骨造,"
      57.24㎡      (26.3万円/㎡)    ", 
8,東武伊勢崎線、和戸駅徒歩1分１K12戸,"
      埼玉県南埼玉郡宮代町和戸１    ",東武伊勢崎・大師線 和戸駅 徒歩1分,,"
              9500万円            ","
              8.26%            ",12戸,木造,"
      214.27㎡      (44.4万円/㎡)    ","
      214.27㎡      (44.4万円/㎡)    "
9,【カイロス仲介】想定利回り9.23％　北越谷駅徒歩8分,"
      埼玉県越谷市北越谷    ",東武伊勢崎・大師線 北越谷駅 徒歩8分,1987年01月（築36年）,"
              7980万円            ","
              9.23%            ",18戸,木造,"
      254.30㎡      (31.4万円/㎡)    ","
      299.86㎡      (26.7万円/㎡)    "
10,【カイロス仲介】JR久喜駅徒歩6分　鉄骨造3階建(築4年),"
      埼玉県久喜市南    ",JR東北本線 久喜駅 徒歩6分,2018年03月（築5年）,"
              2億6500万円            ","
              7.02%            ",30戸,鉄骨造,"
      584.82㎡      (45.4万円/㎡)    ","
      396.00㎡      (67.0万円/㎡)    "
